35,11.0,9.0,18,14,13,12,,,,,,,7,,,,,,,,
36,11.0,7.0,13.2,13,9,,,,,,,,7,,,,,,,,
37,11.0,6.0,10,,,,,,,,,,7,7,6.5,,,,,,
38,11.0,6.0,10,9,8.5,,,,,,,,6,4.5,3,,,,,,
39,11.0,6.0,11,,,,,,,,,,7,,,,,,,,
40,11.0,6.0,16,12,11,6,,,,,,,6,,,,,,,,
41,11.7,5.5,10.5,,,,,,,,,,,,,,,,,,
42,11.0,5.5,12,12,11,9,,,,,,,6,5,,,,,,,
43,11.5,5.5,13,,,,,,,,,,5.2,,,,,,,,
44,11.5,5.0,8.5,7.7,,,,,,,,,,,,,,,,,
45,11.0,5.0,8,8,,,,,,,,,2,,,,,,,,
46,11.0,4.0,,,,,,,,,,,8,8,7.5,6.5,6.5,6,5.5,5,
47,11.7,4.5,12,11,10.5,,,,,,,,7,,,,,,,,
48,11.0,4.0,8,8,8,,,,,,,,,,,,,,,,
49,11.5,4.5,12,11,10,,,,,,,,6,4.5,4.5,2,,,,,
50,11.0,4.5,13,,,,,,,,,,2,,,,,,,,
51,11.2,3.0,,,,,,,,,,,7.5,4.5,,,,,,,
52,11.0,3.5,11,7,,,,,,,,,6,5,3.5,,,,,,
53,11.0,3.0,11,10,10,4,,,,,,,5,5,4,3,3,,,,
54,11.0,3.0,11,11,10,,,,,,,,3.5,,,,,,,,
55,11.0,2.0,11,10,,,,,,,,,4.5,2.5,1.5,,,,,,
56,11.0,2.0,12,10.5,10.5,,,,,,,,4.5,0,,,,,,,
57,11.0,2.5,10,,,,,,,,,,4,4,4,2.5,,,,,
58,11.0,2.0,10.5,10,9,9,6,,,,,,4.5,4,,,,,,,
59,11.0,1.0,,,,,,,,,,,2,,,,,,,,
60,11.0,-2.0,11.5,9,,,,,,,,,,,,,,,,,
61,10.0,9.0,11,10,9,,,,,,,,9,,,,,,,,
62,10.0,9.0,10,8.7,,,,,,,,,8,6,4,2,,,,,
63,10.0,8.0,15,,,,,,,,,,,,,,,,,,
64,10.0,7.0,10,9,,,,,,,,,6,4,0,,,,,,
65,10.0,7.0,,,,,,,,,,,7.5,,,,,,,,
66,10.0,6.5,13,12,12,6.5,,,,,,,9.2,7.2,6.5,6,6,4.2,3.7,,
67,10.5,5.0,12,10.2,9,8.5,,,,,,,,,,,,,,,
68,10.5,5.0,,,,,,,,,,,8,5,1.5,1,1,,,,
69,10.0,5.0,13,12,10.5,5,5,,,,,,4.5,3,2,,,,,,
70,10.0,5.0,7,5,,,,,,,,,6.0,4.5,2.5,2.5,,,,,
71,10.0,5.0,10,10,,,,,,,,,7,5,5,3,,,,,
72,10.0,5.0,19,15,11,,,,,,,,9,7,5.7,2,,,,,
73,10.0,5.0,13,12.5,,,,,,,,,5,,,,,,,,
74,10.0,5.0,9,9,,,,,,,,,,,,,,,,,
75,10.0,4.7,12,10,8.7,,,,,,,,6.5,5.5,4.7,4.5,,,,,
76,10.0,4.0,10.7,10,8,7.0,7,6,5,,,,7,5.0,,,,,,,
77,10.0,4.0,10,8,6.7,,,,,,,,5.5,,,,,,,,
78,10.0,4.2,12,10,,,,,,,,,2.5,1.2,0.1,,,,,,
79,10.5,4.0,14,9.5,9,8,8,8,,,,,5.5,5,,,,,,,
80,10.5,4.5,,,,,,,,,,,0,,,,,,,,
81,10.0,4.0,8,,,,,,,,,,5,4,2,,,,,,
82,10.0,4.0,11,10,10,10,9.5,8.5,,,,,9,5,4,,,,,,
83,10.0,3.7,10,7,5.5,,,,,,,,3.7,3.2,2.5,2.2,1,,,,
84,10.5,3.0,10,8.5,,,,,,,,,5.5,3.5,,,,,,,
85,10.5,3.0,12.5,9,7,,,,,,,,4.5,4,,,,,,,
86,10.0,3.5,11,7.5,,,,,,,,,7.5,3.5,,,,,,,
87,10.0,3.0,8,7,,,,,,,,,3.7,2,,,,,,,
88,10.0,3.0,10,6.5,,,,,,,,,2,1,,,,,,,
89,10.5,2.0,12,10,9.5,9.5,8,,,,,,5,4,3,,,,,,
90,10.3,2.7,10.7,9.7,9.2,5.2,,,,,,,4,3.5,3.2,,,,,,
91,10.5,2.0,12,12,,,,,,,,,0,,,,,,,,
92,10.0,1.0,11.2,7,,,,,,,,,6.0,,,,,,,,
93,10.0,0.0,7,4.5,,,,,,,,,5,3,,,,,,,
94,10.0,0.0,,,,,,,,,,,5,5,,,,,,,
95,10.0,-1.5,11.5,4.5,,,,,,,,,3,2.5,,,,,,,
96,10.0,-2.0,12,6,,,,,,,,,6,5,3,,,,,,
97,9.0,8.5,15,11,10,,,,,,,,6,6,5.5,5,5,4,4,,
98,9.0,7.0,,,,,,,,,,,4,,,,,,,,
99,9.0,6.0,13,12,11.7,11.5,,,,,,,5.5,5,2.7,2.5,,,,,
100,9.0,6.0,11.2,11,10,,,,,,,,,,,,,,,,
101,9.0,6.7,15,14,12,8.5,,,,,,,,,,,,,,,
102,9.0,6.0,10,8.5,8,,,,,,,,5,3,2.5,,,,,,
103,9.0,6.5,13,11,10.5,10.5,7,6,,,,,1,,,,,,,,
104,9.5,6.5,10.5,7.5,,,,,,,,,4.5,4,,,,,,,
105,9.0,6.5,11,,,,,,,,,,8.5,7.5,6,3,3,,,,
106,9.5,6.0,11,11,10.5,10.5,,,,,,,6.5,5.5,4.5,,,,,,
107,9.0,6.0,13,12,9,9,,,,,,,6.5,5.5,5.5,5,4,,,,
108,9.0,5.0,10,8.5,7,,,,,,,,5,4,3.5,1,,,,,
109,9.5,4.5,9.7,8,0,,,,,,,,5.2,4.5,3.7,0,,,,,
110,9.2,4.0,11.7,6.5,,,,,,,,,5,3.5,,,,,,,
111,9.9,3.5,,,,,,,,,,,5.5,,,,,,,,
112,9.0,3.0,9,,,,,,,,,,7.5,3.5,,,,,,,
113,9.0,3.0,12,,,,,,,,,,,,,,,,,,
114,9.0,3.0,13,10,10,4,,,,,,,6,2,,,,,,,
115,9.0,3.5,10.5,7,6,,,,,,,,5,3,2,1,,,,,
116,9.0,3.5,10.5,,,,,,,,,,3.7,3,,,,,,,
117,9.7,2.0,,,,,,,,,,,2.5,,,,,,,,
118,9.5,2.0,13,12,9,8.0,,,,,,,5.5,5.5,5.0,5.0,2.5,,,,
119,9.0,2.0,13,11,11,9,,,,,,,6.0,6.0,5.0,3,,,,,
120,9.5,2.0,12,10,7.8,,,,,,,,5.2,4.7,4.5,3.5,3.5,2.5,2,1.5,
121,9.0,2.5,11,10,10,9,,,,,,,3.5,2.5,2.5,2,,,,,
122,9.0,2.0,12,8,,,,,,,,,6,6,,,,,,,
123,9.5,1.0,10,9.5,9,,,,,,,,3,2,,,,,,,
124,9.0,1.0,8,8,7.5,4,3,3,,,,,3.5,2,2,,,,,,
125,9.0,0.0,10.5,,,,,,,,,,8,2.5,,,,,,,
126,9.0,0.0,9,6,,,,,,,,,1.7,0.5,,,,,,,
127,9.0,0.5,9.5,,,,,,,,,,,,,,,,,,
128,8.7,10.5,11,,,,,,,,,,1.7,,,,,,,,
129,8.5,7.0,13,11,,,,,,,,,7,,,,,,,,
130,8.5,6.5,10,9,9,8.7,8.5,8.5,8,8,8,6.2,3.2,,,,,,,,
131,8.0,5.0,7.5,6,,,,,,,,,5.0,1.5,1.5,,,,,,
132,8.0,5.5,6,,,,,,,,,,4,,,,,,,,
133,8.0,5.5,11.7,11.5,10.7,5.5,,,,,,,6.5,5.2,1.5,,,,,,
134,8.0,5.0,12,12,,,,,,,,,8,6,,,,,,,
135,8.5,5.0,9.2,8,6,6,,,,,,,2,1.5,1,0,,,,,
136,8.0,4.0,11,8,8,7,,,,,,,5,4,3,3,2,1,,,
137,8.0,4.0,6,3,,,,,,,,,5.5,2,,,,,,,
138,8.0,4.0,11.2,11.2,9,8.5,,,,,,,2.5,,,,,,,,
139,8.0,4.5,,,,,,,,,,,2,,,,,,,,
140,8.0,4.0,9,7,6,,,,,,,,6,6,5,5,5,4,3,,
141,8.0,3.0,10.5,10,8,6,6,,,,,,6,2,1.5,,,,,,
142,8.5,3.5,13.5,10,9.5,,,,,,,,5.5,,,,,,,,
143,8.0,3.0,7,,,,,,,,,,,,,,,,,,
144,8.0,3.0,10,8,5.5,,,,,,,,4.5,4,,,,,,,
145,8.0,3.0,11,8,6,5.5,5,,,,,,3,2,2,,,,,,
146,8.0,3.0,7,7,6,,,,,,,,4,3.5,1,,,,,,
147,8.5,3.5,8.2,,,,,,,,,,,,,,,,,,
148,8.0,3.0,10,,,,,,,,,,,,,,,,,,
149,8.2,3.5,10,9,7,5.5,,,,,,,4.5,,,,,,,,
150,8.0,2.5,8.5,,,,,,,,,,,,,,,,,,
151,8.7,2.0,7.7,,,,,,,,,,1.7,,,,,,,,
152,8.0,2.5,6.5,,,,,,,,,,,,,,,,,,
153,8.0,1.0,8.5,8,4,,,,,,,,3.5,3,,,,,,,
154,8.0,0.2,6.7,,,,,,,,,,,,,,,,,,
155,8.0,0.0,4,,,,,,,,,,1,1,0,0,0,-4,,,
156,8.0,0.0,7.5,7,6.5,,,,,,,,0,,,,,,,,
157,8.5,-1.0,9,,,,,,,,,,,,,,,,,,
158,8.0,-1.0,8,5,4.7,4,4,3,,,,,5,5,2,1.5,1,,,,
159,7.0,6.2,12.7,12.7,11.5,,,,,,,,7.5,6.0,6.0,5.5,3.5,,,,
160,7.0,6.5,11,,,,,,,,,,,,,,,,,,
161,7.0,6.0,13,11,10.5,10,9,,,,,,8,5.5,2,,,,,,
162,7.0,5.0,9.7,7.5,,,,,,,,,5.5,5,4.5,3.5,,,,,
163,7.0,5.5,10,9,,,,,,,,,5.5,5.5,3,,,,,,
164,7.0,5.5,10,7.7,,,,,,,,,3,0,,,,,,,
165,7.0,5.0,5,,,,,,,,,,2,2,,,,,,,
166,7.5,5.0,11,9,,,,,,,,,4,4,3,3,3,3,3,2.5,2
167,7.0,4.0,11.5,10,7,7,,,,,,,,,,,,,,,
168,7.0,3.5,11,10.2,9.2,8.5,8,7,5.5,,,,3.5,,,,,,,,
169,7.0,3.0,9,8,,,,,,,,,3,,,,,,,,
170,7.5,2.0,10,9.5,9,8.5,,,,,,,6,,,,,,,,
171,7.0,1.0,7,,,,,,,,,,,,,,,,,,
172,6.0,7.0,10.5,10.5,7,6,6,,,,,,2,2,1.5,,,,,,
173,6.0,7.0,12,5,5,4.5,,,,,,,7,4,4,2,0,0,,,
174,6.0,6.0,6,5,,,,,,,,,7,6.5,5.5,,,,,,
175,6.0,6.0,12,8,,,,,,,,,6,5,2,1,,,,,
176,6.5,5.0,8.7,8.5,7.0,6.5,4.5,,,,,,2.5,0.5,0.5,-2.5,-3.0,,,,
177,6.0,5.5,12,11,7,,,,,,,,6,6.0,6.0,5,,,,,
178,6.0,3.0,10,,,,,,,,,,,,,,,,,,
179,6.0,3.5,,,,,,,,,,,4.5,2,,,,,,,
180,6.5,3.0,7.2,7,5,,,,,,,,5,5,3,,,,,,
181,6.5,2.5,10,8,,,,,,,,,3.5,2.5,2.5,2.5,2.5,,,,
182,6.0,1.5,10,,,,,,,,,,,,,,,,,,
183,6.0,0.0,8,7,5,,,,,,,,0,,,,,,,,
184,6.0,0.0,5,,,,,,,,,,,,,,,,,,
185,6.0,-1.0,8,7,6.5,6,5.7,5.5,5,,,,5,4,3,2,1,0,-2,-3,
186,5.0,7.0,6.5,6,6,,,,,,,,5,,,,,,,,
187,5.0,7.0,,,,,,,,,,,3,,,,,,,,
188,5.0,6.0,3,,,,,,,,,,3,3,0,,,,,,
189,5.0,6.0,7,7.0,6,5,,,,,,,5,5.0,1,,,,,,
190,5.0,5.0,9,8,8,,,,,,,,5,5,2,2,1,-1,,,
191,5.0,5.5,10.7,,,,,,,,,,5.5,,,,,,,,
192,5.0,5.0,9.2,9,8,7.7,,,,,,,4.5,0.5,,,,,,,
193,5.0,4.0,7,7,,,,,,,,,4,4,2.5,0.5,,,,,
194,5.0,3.0,10,,,,,,,,,,3,,,,,,,,
195,5.0,3.0,6,6,,,,,,,,,3,,,,,,,,
196,5.5,3.0,11,11,9,,,,,,,,3.5,,,,,,,,
197,5.5,0.0,8,8,7,7,,,,,,,2,,,,,,,,
198,4.0,4.0,11.5,8,,,,,,,,,5.5,4,2,2,1,,,,
199,4.0,4.0,10.5,8,,,,,,,,,7,5,4,4,0,,,,
200,4.0,3.0,4.5,,,,,,,,,,,,,,,,,,
201,4.0,0.0,6,,,,,,,,,,0,,,,,,,,
202,3.0,3.5,,,,,,,,,,,8.5,3,,,,,,,
203,2.0,6.0,4,,,,,,,,,,2,1,,,,,,,
204,2.5,3.0,6.5,,,,,,,,,,-3,,,,,,,,
205,8.5,5.0,12,10.5,8.7,8.5,7.7,,,,,,4,3.5,3,,,,,,
